Index,Mkt.RF,SMB,HML,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ
28/2/1998,0.0082,0.0459,0.0101,0.0039,0.000450549,-0.006369677,0.018137529,0.046194242,0.010164746
31/3/1998,-0.0692,-0.0294,0.0122,0.0039,0.000446402,-0.034360999,-0.032486327,-0.030446161,0.012634121
30/4/1998,-0.0229,-0.0241,-0.0183,0.0043,0.000364269,-0.003820114,-0.015200832,-0.024192418,-0.018370176
31/5/1998,-0.049,0.0027,0.0057,0.004,0.000320269,-0.048511894,0.00337068,0.00283766,0.005990616
30/6/1998,0.0031,0.0008,0.0034,0.0041,0.000384187,-0.021067465,0.028491618,0.000817217,0.003473171
31/7/1998,-0.0163,0.0074,-0.0165,0.004,0.000361779,-0.011388966,-0.001283308,0.007485249,-0.016690083
31/8/1998,-0.0926,0.0153,-0.0158,0.0043,0.000308642,0.015239914,-0.102294303,0.015070329,-0.015562824
30/9/1998,-0.0391,-0.0176,-0.024,0.0046,0.000222228,0.053021559,-0.083336916,-0.016713808,-0.022791556
31/10/1998,0.1612,-0.0467,0.0165,0.0032,0.000181485,0.149355929,0.012907646,-0.040631452,0.014355866
30/11/1998,0.0363,0.0138,0.0209,0.0031,0.000166514,-0.053392749,0.097860147,0.01457838,0.022078851
31/12/1998,0.0278,0.0009,-0.0198,0.0038,0.00047708,0.066813605,-0.033485287,0.000843634,-0.018559943
31/1/1999,0.0079,-0.0048,-0.0042,0.0035,0.000411567,-0.005757745,0.01684554,-0.004827797,-0.004224323
28/2/1999,-0.026,0.0413,-0.0457,0.0035,0.000239684,-0.028226648,0.005653304,0.042499622,-0.047027427
31/3/1999,0.1361,-0.0061,0.016,0.0043,0.000175664,-0.006059348,0.147176543,-0.006137187,0.016097541
30/4/1999,0.0467,0.044,0.0389,0.0037,0.000111598,0.00921466,0.040697698,0.043598257,0.038544823
31/5/1999,-0.0532,-0.0019,-0.0119,0.0034,7.16384E-05,-0.018741523,-0.031723316,-0.001936289,-0.012127284
30/6/1999,0.1047,0.0963,-0.0601,0.004,0.000200612,0.005537877,0.102393359,0.09576964,-0.059769007
31/7/1999,0.0994,-0.0401,0.0054,0.0038,0.000170673,0.046628314,0.053880689,-0.038313506,0.005159425
31/8/1999,0.028,0.016,0.0004,0.0039,0.000118256,0.04384143,-0.011558146,0.015327999,0.0003832
30/9/1999,0.0682,-0.0233,-0.0389,0.0039,0.00011243,0.034614846,0.036118593,-0.022520458,-0.037598533
31/10/1999,0.0621,-0.0545,-0.0571,0.0039,0.000105772,0.020012389,0.044979574,-0.053430724,-0.055979712
30/11/1999,0.0724,-0.0525,-0.1425,0.0036,0.000159859,0.022210316,0.052461096,-0.051359294,-0.139403798
31/12/1999,0.0361,-0.0791,-0.0824,0.0044,0.000153204,0.005583582,0.034569337,-0.078660791,-0.081942467
31/1/2000,-0.0536,0.0164,0.0632,0.0041,0.000159859,-0.044729331,-0.005153908,0.017167909,0.066159259
29/2/2000,-0.0172,0.0274,-0.0786,0.0043,0.000159859,-0.025354553,0.012618688,0.028112787,-0.080644711
31/3/2000,0.061,0.0086,0.0603,0.0047,0.000213083,0.035950491,0.028504031,0.008301555,0.058207415
30/4/2000,-0.0909,-0.0317,0.0244,0.0046,0.000198117,-0.007036307,-0.080023486,-0.031924632,0.024572902
31/5/2000,-0.0755,0.0483,0.1005,0.005,0.000174832,-0.000609442,-0.07010801,0.048329454,0.100561286
30/6/2000,0.0592,0.0199,0.0611,0.004,0.000262953,0.014168212,0.048083848,0.019621991,0.060246416
31/7/2000,-0.1228,-0.0092,0.0449,0.0048,0.000243008,-0.041121495,-0.080418447,-0.009594542,0.046825536
31/8/2000,0.0646,0.0148,-0.0351,0.005,0.000390825,0.027063726,0.041024593,0.014410011,-0.034175095
30/9/2000,-0.0482,-0.0314,0.0605,0.0051,0.000414885,-0.009691181,-0.034150644,-0.031707281,0.061092054
31/10/2000,-0.0757,-0.0622,0.0796,0.0056,0.000377548,-0.010416189,-0.060689581,-0.062854706,0.080437856
30/11/2000,-0.0303,0.0113,0.0581,0.0051,0.000382528,-0.021375006,-0.004291067,0.011546813,0.059369013
31/12/2000,-0.0989,-0.0137,0.0779,0.005,0.000390825,-0.028530297,-0.067680318,-0.014102344,0.080187781
31/1/2001,-0.0079,0.014,-0.0579,0.0054,0.000301167,-0.009077941,0.006337035,0.014128255,-0.058430428
28/2/2001,-0.0552,0.047,0.0626,0.0038,0.00018897,-0.006186364,-0.045684055,0.047292569,0.062989677
31/3/2001,-0.0421,0.0058,0.0051,0.0042,6.24785E-05,-0.057038687,0.020233887,0.006150836,0.005408493
30/4/2001,0.087,0.0016,0.0471,0.0039,3.74923E-05,0.000689152,0.09011123,0.001598898,0.047067563
31/5/2001,-0.0013,0.0287,-0.0079,0.0032,1.66651E-05,0.023695896,-0.021308043,0.02803567,-0.007717136
30/6/2001,-0.0534,0.0106,0.0647,0.0028,2.58297E-05,-0.034961954,-0.016230419,0.010984023,0.067043989
31/7/2001,-0.0893,-0.0145,0.0641,0.003,4.24901E-05,-0.00247683,-0.084073792,-0.014536003,0.064259159
31/8/2001,-0.0271,0.0175,0.0824,0.0031,3.16612E-05,0.047670866,-0.068441377,0.016703719,0.078650655
30/9/2001,-0.0769,-0.0101,-0.0032,0.0028,2.41635E-05,-0.00225498,-0.072031559,-0.010122827,-0.003207232
31/10/2001,0.008,0.0302,-0.0454,0.0022,2.83289E-05,-0.019610251,0.030378202,0.030804076,-0.046308114
30/11/2001,-0.018,-0.0346,-0.032,0.0017,3.83253E-05,-0.014603841,-0.001759622,-0.035112781,-0.032474249
31/12/2001,-0.0823,-0.0372,0.0164,0.0015,3.91582E-05,-0.059849807,-0.022323038,-0.039568146,0.017444021
31/1/2002,-0.0782,0.0194,0.0153,0.0014,1.99978E-05,-0.008013846,-0.069361847,0.019556725,0.015423602
